ID,Título,Workstream,Fase,Sprint,Tipo,Responsable,Estado,Prioridad,Inicio,Fin,DoD (Definition of Done),KPI impactado,Ciudad/Área,Notas,Depends on
T-022,Tracking de técnico con llegada estimada,Servicio y Producto,Etapa 1,,Tarea,,Backlog,Media,,,Enlace de seguimiento y confirmación de llegada en 10 servicios,Experiencia cliente,PC/SD,,T-015
T-023,Formalizar contratos y políticas mínimas,Legal y Tributario,Etapa 1,,Tarea,,Backlog,Alta,,,"Contratos cliente/proveedor, datos y reembolsos aprobados",Confianza / Cumplimiento,PC/SD,,
T-024,Modelos de economía por servicio,Finanzas y Economía,Etapa 1,,Tarea,,Backlog,Alta,,,Margen por categoría y proveedor en hoja viva,Margen / Precios,PC/SD,,
T-025,Flujo de caja semanal y disciplina de cierre,Finanzas y Economía,Etapa 1,,Tarea,,Backlog,Alta,,,Reporte semanal con proyección 4 semanas y variaciones,Caja,PC/SD,,
T-026,Línea de crédito operativa para picos,Finanzas y Economía,Etapa 1,,Tarea,,Backlog,Media,,,Línea aprobada y política de uso,Caja,PC/SD,,T-025
T-027,Encuesta corta de recomendación integrada,Marca y Comunicaciones,Etapa 1,,Tarea,,Backlog,Media,,,Encuesta enviada automáticamente al cerrar y almacenada,Recomendación cliente,PC/SD,,T-011
T-028,Operativizar Principios Inquebrantables,Operación de Agentes,Etapa 1,,Épica,,Backlog,Alta,,,Checklists y auditoría semanal de cumplimiento,Consistencia,PC/SD,,T-006
T-029,3 alianzas con condominios,Go-to-Market,Etapa 1,,Hito,,Backlog,Alta,,,Tres contratos firmados y campañas activas,Adquisición,PC/SD,,"T-013,T-014"
T-030,"Hito: 300 hogares / 1,200 activos",Go-to-Market,Etapa 1,,Hito,,Backlog,Alta,,,Métricas alcanzadas y reportadas,Tracción,PC/SD,,T-015..T-029
T-031,Automatización de ruteo y calendarización,Datos y Sistemas,Etapa 2,,Épica,,Backlog,Alta,,,Asignación automática según zona/skill y ventanas <2h,Eficiencia / Experiencia,Nacional,,T-021
T-032,Webhooks o flujo técnico automatizado,Servicio y Producto,Etapa 2,,Tarea,,Backlog,Media,,,Cerrar ticket y disparar cobro con “Trabajo completado”,Ciclo aprobación→cobro,Nacional,,T-022
T-033,Programa de calidad y certificaciones,Proveedores Técnicos,Etapa 2,,Épica,,Backlog,Media,,,"Checklists auditados, badges y bonificaciones por calidad",Calidad / Seguridad,Nacional,,T-016
T-034,Decisión sobre fideicomiso de administración,Legal y Tributario,Etapa 2,,Hito,,Backlog,Media,,,Modelo financiero comparativo + decisión “go/no-go”,Riesgo / Confianza,Nacional,,T-025
T-035,Diseño de programa de recompra y reventa,Extensiones (Año 2-3),Etapa 2,,Tarea,,Backlog,Media,,,"Proceso, precios guía y canales definidos",Nuevos ingresos,Nacional,,
T-036,Escalamiento de datos (almacenamiento ligero),Datos y Sistemas,Etapa 2,,Tarea,,Backlog,Media,,,Exportaciones y backups automáticos,Confiabilidad,Nacional,,T-011
T-037,Auditorías aleatorias de calidad,Riesgo y Calidad,Etapa 2,,Tarea,,Backlog,Media,,,5% de servicios auditados mensualmente,Mejora continua,Nacional,,T-033
T-038,Plan de cobertura nacional,Go-to-Market,Etapa 2,,Tarea,,Backlog,Alta,,,"Mapa de ciudades, proveedores y metas trimestrales",Escala,Nacional,,T-029
T-039,"Hito: 5,000 hogares / 20,000 activos",Go-to-Market,Etapa 2,,Hito,,Backlog,Alta,,,Métricas alcanzadas y reportadas,Escala,Nacional,,"T-031,T-032,T-033,T-034,T-035,T-036,T-037,T-038"
T-040,Piloto de trade-in y reventa,Extensiones (Año 2-3),Etapa 3,,Épico,,Backlog,Media,,,10 operaciones cerradas con satisfacción del cliente,Nuevos ingresos,Nacional,,T-035
T-041,Evaluación de punto de venta liviano,Extensiones (Año 2-3),Etapa 3,,Tarea,,Backlog,Media,,,Caso de negocio y prueba en micro-showroom,Ingresos / Marca,Nacional,,T-038
T-042,Personalización de recordatorios y precios,Datos y Sistemas,Etapa 3,,Tarea,,Backlog,Media,,,Reglas por historial y comportamiento en producción,Retención / Margen,Nacional,,T-011
T-043,Expansión nacional completa,Go-to-Market,Etapa 3,,Hito,,Backlog,Alta,,,Operación estable en ciudades objetivo,Escala,Nacional,,T-038
T-044,Estudio de expansión regional,Go-to-Market,Etapa 3,,Tarea,,Backlog,Media,,,2 países pre-seleccionados con criterios claros,Estrategia,Regional,,T-043
T-045,Hito: 20k hogares / 80k activos,Go-to-Market,Etapa 3,,Hito,,Backlog,Alta,,,Métricas alcanzadas y reportadas,Liderazgo,Nacional,,T-043
T-046,Hito: Recomendación ≥ 60,Marca y Comunicaciones,Etapa 3,,Hito,,Backlog,Media,,,Promedio trimestral ≥ 60 con plan de mejora continuo,Satisfacción,Nacional,,T-027
T-047,Hito: Recuperación de adquisición ≤ 3 meses,Finanzas y Economía,Etapa 3,,Hito,,Backlog,Media,,,Métrica alcanzada y monitoreada,Salud financiera,Nacional,,"T-024,T-025"
T-001,Entrevistas con clientes (10 PC + 10 SD),Clientes y Encaje,Etapa 0,Semana 1,Tarea,Gabriella Bairan,Completada,Alta,,,"Guía aplicada, 20 entrevistas registradas, insights sintetizados",Aprendizaje cliente,PC/SD,,
