Due date,Experimento,Task,Owner,Status,Hipótesis,Notas
,Calidad y estandarización,Formato de “Reporte Maroa” posvisita,,Not started,3,
,Calidad y estandarización,Checklist de cierre,,Not started,3,
,Calidad y estandarización,Checklist de mantenimiento A/C,,Not started,3,
,Red de técnicos (capacidad mínima viable),Manual técnico del piloto,,Not started,"2, 3",
,Red de técnicos (capacidad mínima viable),Reglas claras de materiales ,,Not started,"2, 3",
,Red de técnicos (capacidad mínima viable),Esquema de pago por servicio,,Not started,"2, 3",
,Red de técnicos (capacidad mínima viable),Checklist de selección,,Not started,"2, 3",
,Red de técnicos (capacidad mínima viable),Lista de técnicos activos y de backup,,Not started,"2, 3",
2026-01-16T00:00:00.000-04:00,Operación de Concierge (experiencia “cero drama”),Regla operativa,Gabriella Bairan,Planned,2,
2026-01-15T00:00:00.000-04:00,Operación de Concierge (experiencia “cero drama”),Plantillas operativas,Gabriella Bairan,Done,2,
2026-01-13T00:00:00.000-04:00,Operación de Concierge (experiencia “cero drama”),SLAs internos definidos,Gabriella Bairan,Done,2,
2026-01-14T00:00:00.000-04:00,Operación de Concierge (experiencia “cero drama”),Guiones operativos,Gabriella Bairan,Done,2,
2025-12-17T00:00:00.000-04:00,Operación de Concierge (experiencia “cero drama”),Flujo operativo end-to-end documentado,Erick Santana,Done,2,
2026-01-12T00:00:00.000-04:00,Oferta y pricing (objeto de compra),Definición de método de pago y ciclo,Erick Santana,Done,"1, 4",
2025-12-19T00:00:00.000-04:00,Oferta y pricing (objeto de compra),Políticas del piloto,Gabriella Bairan,Done,"1, 4","Cancelación, reprogramación, no-show
Garantía del trabajo y retrabajos"
2025-12-19T00:00:00.000-04:00,Oferta y pricing (objeto de compra),Beneficios exclusivos del piloto (fundadores / early adopters),Erick Santana,Done,"1, 4",
2025-12-17T00:00:00.000-04:00,Definición del piloto (baseline de validación),Documento “Definición del Piloto” ,Gabriella Bairan,Done,"1, 2",
2025-12-19T00:00:00.000-04:00,Definición del piloto (baseline de validación),Matriz de criterios de éxito del piloto,Gabriella Bairan,Done,"1, 2","Qué es (y por qué no es “lo mismo que OKRs”)
Los OKRs dicen qué quieren lograr a nivel macro (resultados/targets).
La Matriz de Criterios de Éxito del Piloto traduce eso a reglas operativas y de decisión: cómo se medirá cada experimento/hipótesis, con umbrales mínimos (go/no-go), definiciones exactas, fuentes de datos, y quién decide qué pasa si se cumple o no.
En pocas palabras: OKR = norte. Matriz = “pasamos o no pasamos” + cómo lo probamos sin ambigüedad.

Deliverable esperado (lo que debe producir la persona)
Una tabla matriz (1–3 páginas) que conecte:
Experimento → hipótesis → métrica → criterio de éxito → decisión
Documento de definiciones (1 página) con:
fórmulas, reglas de conteo, ventanas de medición, segmentos, etc.
(Opcional pero ideal) Mini-dashboard (Google Sheet) que calcule automáticamente los criterios con datos del piloto.

Brief para delegar (copypaste)
Objetivo: Construir una Matriz de Criterios de Éxito del Piloto que convierta los OKRs y las hipótesis/experimentos en criterios medibles, con umbrales mínimos y reglas de decisión (Go / Pivot / Stop).
Resultado: Que al final del piloto podamos decidir con evidencia qué escalar, qué corregir y qué descartar, sin discusión semántica sobre métricas.

Outline de la matriz (columnas recomendadas)
Para cada hipótesis/experimento, incluir:
A) Identificación
ID / Nombre del experimento
Hipótesis que valida
OKR relacionado (link o código)
Segmento / contexto (hogares, residenciales, tipo de A/C, zona)
B) Métrica y definición (anti-ambigüedad)
Métrica principal (1) y métricas secundarias (2–3)
Definición exacta (qué cuenta / qué no cuenta)
Fórmula (ej. % = numerador/denominador)
Ventana de medición (ej. 7 días post-servicio / 30 días de suscripción)
Fuente de datos (WhatsApp/Sheet/CRM/encuesta)
Cadencia (diaria/semanal/por servicio)
C) Criterios de éxito (la parte clave)
Umbral mínimo (Go/No-Go): lo mínimo aceptable para considerar “validado”
Objetivo (target): lo deseado
Stretch: “excelente”
Criterios de falla (“Red flags”): señales que obligan a pausar aunque se cumplan otras métricas
Recomendación: usa 3 niveles para evitar “gris”:
Go (validado)
Pivot (parcial / ajustar)
Stop (no validado / costo alto / riesgo)
D) Requisitos de validez (para que el dato sea creíble)
Tamaño mínimo de muestra (ej. N servicios / N hogares / N tickets)
Segmentación mínima (ej. separar correctivo vs preventivo)
Criterio de calidad de datos (ej. % de reportes con fotos completas)
Supuestos y limitaciones (ej. temporada alta/baja)
E) Responsable y decisión
Owner (quién mide)
Owner de operación (quién ejecuta)
Fecha de corte / checkpoint
Decisión preacordada si es Go / Pivot / Stop (qué acción exacta)

Ejemplos de criterios (para que lo aterricen)
Calidad técnica: “First-time fix rate ≥ X%” o “Retrabajos ≤ Y%”
Experiencia: “CSAT ≥ X/5” o “NPS ≥ X”
Operación: “Tiempo promedio de agendamiento ≤ X horas” / “On-time arrival ≥ X%”
Economía unitaria: “Margen por servicio ≥ X” / “Costo de retrabajos ≤ Y% ingresos”
Demanda/retención: “Conversión a suscripción ≥ X%” / “Churn 30 días ≤ Y%”
Estandarización: “% servicios con checklist completo y evidencia ≥ X%”

Notas importantes (para evitar que la matriz sea solo “otra tabla”)
La matriz debe incluir decisiones accionables (si pasa X, hacemos Y), no solo targets.
Debe existir un criterio mínimo por hipótesis. Si no hay umbral, no hay decisión.
Debe indicar instrumentación: cómo se captura el dato en el piloto (si no se captura, la métrica no existe)."
2025-12-19T00:00:00.000-04:00,Oferta y pricing (objeto de compra),Ficha de paquetes del piloto:,Gabriella Bairan,Done,"1, 4","Suscripción y qué incluye exactamente
Número de mantenimientos
Beneficios claros vs mercado informal"
